Timestamp,Vecuma grupa,Mīļākais filmu žanrs,Kāpēc patīk izvēlētais žanrs?
14/02/2025 10:00:10,70+,Dokumentālā,Tas liek man aizdomāties par dzīvi un cilvēku attiecībām
14/02/2025 10:00:21,70+,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
14/02/2025 10:01:08,50-60,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
14/02/2025 10:01:30,<10,Animācijas,Uzlabo manu garastāvokli
14/02/2025 10:10:52,10-20,Romantika,Uzlabo manu garastāvokli
15/02/2025 21:22:49,40-50,Romantika,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 18:33:18,10-20,Animācijas,Uzlabo manu garastāvokli
16/02/2025 18:33:44,10-20,Romantika,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 18:34:15,10-20,Animācijas,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 18:36:55,10-20,Drāmas,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 18:37:58,10-20,Komēdijas,Uzlabo manu garastāvokli
16/02/2025 18:39:36,10-20,Romantika,Uzlabo manu garastāvokli
16/02/2025 18:45:04,10-20,Komēdijas,Uzlabo manu garastāvokli
